
epoch 146,  actor_loss: 134.3798,  critic_loss: 64.6127, cost_time: 2.7031, best_solution: [15.475054740905762],od: 13.1135, eqity: 12.9573,rad: 34.5514
epoch 147,  actor_loss: 287.7103,  critic_loss: 113.1811, cost_time: 2.7599, best_solution: [15.475054740905762],od: 15.1960, eqity: 15.3700,rad: 34.1542
epoch 148,  actor_loss: 155.1759,  critic_loss: 77.5129, cost_time: 2.6942, best_solution: [15.475054740905762],od: 11.9614, eqity: 12.5481,rad: 27.8477
epoch 149,  actor_loss: 376.8309,  critic_loss: 127.9555, cost_time: 2.9387, best_solution: [15.475054740905762],od: 17.5435, eqity: 15.2165,rad: 34.7638
epoch 150,  actor_loss: 263.6769,  critic_loss: 144.3949, cost_time: 2.5664, best_solution: [17.543468475341797],od: 15.2490, eqity: 13.8321,rad: 33.7570
epoch 151,  actor_loss: 95.1519,  critic_loss: 102.0718, cost_time: 2.7077, best_solution: [17.543468475341797],od: 13.7670, eqity: 14.3857,rad: 32.0345
epoch 152,  actor_loss: 158.2097,  critic_loss: 74.4911, cost_time: 2.7629, best_solution: [17.543468475341797],od: 17.9972, eqity: 15.5596,rad: 39.5783
epoch 153,  actor_loss: -60.5711,  critic_loss: 156.9450, cost_time: 2.4905, best_solution: [17.99724006652832],od: 14.1157, eqity: 11.9195,rad: 33.0069
epoch 154,  actor_loss: -181.7132,  critic_loss: 144.1780, cost_time: 2.6969, best_solution: [17.99724006652832],od: 15.2345, eqity: 13.0767,rad: 32.2182
epoch 155,  actor_loss: -197.2050,  critic_loss: 107.6522, cost_time: 2.7280, best_solution: [17.99724006652832],od: 17.3044, eqity: 15.2090,rad: 39.0075
epoch 156,  actor_loss: -252.8084,  critic_loss: 142.0962, cost_time: 2.7412, best_solution: [17.99724006652832],od: 15.0481, eqity: 14.0545,rad: 35.6506
epoch 157,  actor_loss: -242.3519,  critic_loss: 145.7141, cost_time: 2.7362, best_solution: [17.99724006652832],od: 13.4745, eqity: 13.4051,rad: 33.8895
epoch 158,  actor_loss: -40.8801,  critic_loss: 98.3764, cost_time: 2.8893, best_solution: [17.99724006652832],od: 16.2511, eqity: 15.7840,rad: 34.7340
epoch 159,  actor_loss: -38.3210,  critic_loss: 80.5216, cost_time: 2.6782, best_solution: [17.99724006652832],od: 14.0170, eqity: 15.0274,rad: 29.5733
epoch 160,  actor_loss: 212.8907,  critic_loss: 90.9141, cost_time: 3.1446, best_solution: [17.99724006652832],od: 16.8099, eqity: 15.9006,rad: 39.9744
epoch 161,  actor_loss: 317.8897,  critic_loss: 121.3578, cost_time: 2.8515, best_solution: [17.99724006652832],od: 16.5778, eqity: 14.5195,rad: 33.7570
epoch 162,  actor_loss: 194.8425,  critic_loss: 96.7117, cost_time: 2.7311, best_solution: [17.99724006652832],od: 14.0303, eqity: 13.9280,rad: 29.7025
epoch 163,  actor_loss: 271.0443,  critic_loss: 126.1890, cost_time: 2.7257, best_solution: [17.99724006652832],od: 14.8890, eqity: 12.6718,rad: 31.1545
epoch 164,  actor_loss: 310.2411,  critic_loss: 128.5250, cost_time: 2.8559, best_solution: [17.99724006652832],od: 17.2462, eqity: 14.4495,rad: 37.4187
epoch 165,  actor_loss: 89.9706,  critic_loss: 93.2576, cost_time: 2.8213, best_solution: [17.99724006652832],od: 12.9374, eqity: 12.2828,rad: 29.7481
